country,countrycode,year,k,y,k_over_y,rnna,rgdpna,emp,delta,csh_i,hc
Argentina,ARG,1950,68275.8791398945,36644.10689936523,1.863215805133382,443304.28125,237924.28125,6.49283885955811,0.0290971305221319,0.0849331691861153,1.81650292873383
Argentina,ARG,1951,73809.57431879868,38209.853052237086,1.9316895623202957,486740.375,251976.5,6.59454250335693,0.0295936278998852,0.125846296548843,1.83076894283295
Argentina,ARG,1952,77230.21394686605,35265.676688390326,2.1899541196749723,518949.9375,236968.40625,6.71951961517334,0.0302030667662621,0.116993941366673,1.84514713287354
Argentina,ARG,1953,81258.92215834472,36258.29528297458,2.241112592971259,553483.375,246968.125,6.81135511398315,0.03040293417871,0.115413844585419,1.85963821411133
Argentina,ARG,1954,84340.50389068126,36785.09531825119,2.292790141251452,584683.375,255009.546875,6.93241500854492,0.030435947701335,0.10497123003006,1.87424302101135
Argentina,ARG,1955,88163.21239190827,38717.821479781414,2.2770705846130164,621233.8125,272821.5,7.04640626907349,0.0306254159659147,0.109858825802803,1.88896262645721
Argentina,ARG,1956,91113.66479759812,39117.5668073886,2.329226284605933,652221.9375,280016.5625,7.15833282470703,0.0309733003377914,0.10235882550478,1.90176832675934
Argentina,ARG,1957,94770.04254757523,40081.36203035473,2.3644416693176056,687526.4375,290777.5,7.25468111038208,0.0312631241977215,0.108121827244759,1.91466104984283
Argentina,ARG,1958,98802.05304764198,42149.232737964456,2.344100868024804,726628.5625,309981.78125,7.3543872833252,0.0314646512269974,0.107620246708393,1.92764103412628
Argentina,ARG,1959,101287.71904300709,39441.94794930538,2.568020199539635,757487.875,294969.59375,7.47857570648193,0.0315318293869495,0.103584237396717,1.940709233284
Argentina,ARG,1960,107777.94082900701,43155.81339799358,2.4974141915725743,816702.75,327019.34375,7.57764291763306,0.0321842730045319,0.140910267829895,1.95386576652527
Argentina,ARG,1961,114510.45679929017,44006.578685351284,2.602121324133019,878633.75,337660.5625,7.67295646667481,0.0334839150309563,0.149654805660248,1.96492779254913
Argentina,ARG,1962,119021.40831321568,43700.21505115238,2.723588617902627,925532.4375,339820.9375,7.77618455886841,0.0344976782798767,0.132196381688118,1.9760525226593
Argentina,ARG,1963,120791.238212261,41495.24985653196,2.9109654389331667,952883.25,327342.6875,7.88867855072022,0.0347849652171135,0.112345442175865,1.98724031448364
Argentina,ARG,1964,125209.87289163105,44177.91456002192,2.8342187298478247,999868.4375,352784.5,7.98553991317749,0.0349067710340023,0.13748887181282,1.99849140644073
Argentina,ARG,1965,129493.46535251234,47633.47676331638,2.7185390223759227,1047281.5625,385236.90625,8.0875244140625,0.0352137088775635,0.125763043761253,2.00980615615845
Argentina,ARG,1966,132710.37999149787,47093.07369051555,2.818044557117653,1088177.25,386146.21875,8.19963932037354,0.0353551767766476,0.11745347827673,2.02271342277527
Argentina,ARG,1967,136268.6068494285,47839.31318168037,2.848464950404249,1130581.375,396909.0,8.2967119216919,0.0353216007351875,0.117889925837517,2.03570342063904
Argentina,ARG,1968,140390.90139013834,49683.234794947086,2.8257198221806696,1179486.625,417411.03125,8.40144634246826,0.0352286919951439,0.124020725488663,2.04877686500549
Argentina,ARG,1969,147310.11415256627,53716.52027703845,2.742361444725509,1249613.125,455670.46875,8.48287391662598,0.0352551378309727,0.14044676721096,2.06193423271179
Argentina,ARG,1970,153753.83099047255,54822.74738941622,2.80456267356195,1318808.875,470236.90625,8.57740497589111,0.0353292375802994,0.139942646026611,2.07517623901367
Argentina,ARG,1971,161111.93606198856,56363.132285708125,2.858463139438426,1394710.625,487923.25,8.65678024291992,0.0353647358715534,0.152563214302063,2.09646344184876
Argentina,ARG,1972,167963.12076235842,56965.78726846432,2.9484911701613763,1468528.0,498060.84375,8.74315738677979,0.0354705154895783,0.153246685862541,2.1179690361023
Argentina,ARG,1973,173099.5913210842,58509.44922182472,2.9584895025215174,1528677.875,516708.90625,8.83120441436768,0.0355635844171047,0.140805378556252,2.1396951675415
Argentina,ARG,1974,173697.93033256795,59452.01004285015,2.921649414500449,1591252.25,544641.75,9.16103172302246,0.0355267636477947,0.139472484588623,2.16164422035217
Argentina,ARG,1975,178434.2800082389,58466.670151184335,3.0518974237260275,1652333.125,541411.75,9.26017761230469,0.0352761074900627,0.147173643112183,2.18381834030151
Argentina,ARG,1976,186809.48680586898,58633.14453624751,3.186073138041944,1724784.875,541351.3125,9.23285484313965,0.0349145084619522,0.155670791864395,2.19690632820129
Argentina,ARG,1977,192822.5172211355,60904.49441507077,3.1659817403134323,1823331.625,575913.5,9.45600986480713,0.0349575877189636,0.175084635615349,2.21007299423218
Argentina,ARG,1978,197589.14218592003,58109.24262071777,3.400304895997273,1895201.375,557362.1875,9.59162712097168,0.0349774286150932,0.148958444595337,2.22331833839417
Argentina,ARG,1979,202334.32212641128,61117.82765782114,3.310561416862121,1974660.5,596473.0,9.75939464569092,0.03484196215868,0.15418703854084,2.23664307594299
Argentina,ARG,1980,210287.78012152037,61827.674878773025,3.401191788852428,2058199.75,605140.75,9.78753852844238,0.0350144430994988,0.167191058397293,2.25004768371582
Argentina,ARG,1981,214990.96550314,58186.2067031052,3.694878523360875,2114802.75,572360.5625,9.83670520782471,0.0349879190325737,0.14897383749485,2.28316402435303
Argentina,ARG,1982,214681.05326597553,55485.71981527894,3.8691226135424386,2144526.5,554266.875,9.98936080932617,0.0343980677425861,0.120219565927982,2.3167679309845
Argentina,ARG,1983,210912.87541446896,55939.59296410426,3.7703684320658026,2175729.75,577060.25,10.3157749176025,0.0336027778685093,0.115429818630219,2.3508665561676
Argentina,ARG,1984,208663.03263109506,55756.26864798228,3.742413861094096,2202909.0,588633.1875,10.5572557449341,0.0330037325620651,0.109396584331989,2.38546681404114
Argentina,ARG,1985,207321.24920779932,51245.19408955914,4.045672045762426,2215763.25,547687.3125,10.6875839233398,0.0324913859367371,0.102712132036686,2.42057633399963
Argentina,ARG,1986,204339.9135350258,53547.13943305997,3.816075250676537,2239318.75,586812.0,10.9587926864624,0.0318887569010258,0.109498560428619,2.44188833236694
Argentina,ARG,1987,203646.97770898844,53830.927713339515,3.783085047195349,2276186.75,601674.75,11.1771202087402,0.0313089415431023,0.125374898314476,2.46338820457459
Argentina,ARG,1988,202557.4122199564,51753.134527823415,3.913915824964339,2308918.75,589925.5,11.3988361358643,0.0308161247521639,0.123009636998177,2.48507714271545
Argentina,ARG,1989,201679.4246212338,47717.25757358061,4.226551039951145,2318552.5,548568.4375,11.4962272644043,0.0303673818707466,0.108371071517468,2.50695705413818
Argentina,ARG,1990,196117.02103884568,45821.97264629591,4.279977698749273,2316432.0,541225.25,11.8114786148071,0.0298832859843969,0.087322048842907,2.52902960777283
Argentina,ARG,1991,191748.30999236004,49056.52364882142,3.9087219340086032,2337542.75,598032.5,12.1906824111938,0.0294740088284016,0.110090240836144,2.55256795883179
Argentina,ARG,1992,192874.2991824354,53258.545605906744,3.6214713899555733,2388928.5,659656.875,12.3859348297119,0.0295083839446306,0.140114352107048,2.57097387313843
Argentina,ARG,1993,199058.6050193272,56775.67079366335,3.5060546575091074,2457381.0,700896.375,12.3450126647949,0.0299407765269279,0.161771073937416,2.58705997467041
Argentina,ARG,1994,204647.36654348535,59744.80315887654,3.425358453341561,2540939.25,741802.4375,12.4161834716797,0.0305980071425438,0.183206960558891,2.60324645042419
Argentina,ARG,1995,219496.6094316085,60893.722368633586,3.604585183721195,2597811.25,720696.3125,11.8353137969971,0.0310955923050642,0.170009225606918,2.61953449249268
Argentina,ARG,1996,219505.54833437613,62660.736505219655,3.5030796089683895,2664185.75,760526.75,12.1372137069702,0.0313981957733631,0.181786641478539,2.62702393531799
Argentina,ARG,1997,215783.3483476619,64424.13009923959,3.349418114226254,2753937.0,822213.5625,12.7625093460083,0.0319296903908253,0.201025769114494,2.63453459739685
Argentina,ARG,1998,213486.59248977518,63954.84322679182,3.338083274361649,2850290.0,853870.25,13.3511428833008,0.0326105803251267,0.208235546946526,2.64206695556641
Argentina,ARG,1999,216697.17230922487,61284.15074561627,3.535941506454268,2917020.25,824962.8125,13.461275100708,0.033048003911972,0.188977956771851,2.64962077140808
Argentina,ARG,2000,218355.61628749492,60187.694610985585,3.627911281513683,2969278.5,818454.0,13.5983610153198,0.0330884642899036,0.177233025431633,2.65719604492188
Argentina,ARG,2001,221872.5774123906,57929.783511309775,3.8300260067271585,2996496.25,782369.6875,13.505482673645,0.0327664464712143,0.157247662544251,2.68300294876099
Argentina,ARG,2002,221753.91371567495,51975.83264401807,4.266481217039179,2974311.25,697134.5,13.4126663208008,0.032071590423584,0.115501716732979,2.70905995368958
Argentina,ARG,2003,212365.9195827157,53929.561861444105,3.9378387706602633,2987798.25,758740.625,14.0691041946411,0.0313959084451199,0.143677651882172,2.73537039756775
Argentina,ARG,2004,203077.25941478604,55161.66417563509,3.6814926171949196,3045520.75,827251.625,14.9968576431274,0.0311955641955137,0.172508031129837,2.76193618774414
Argentina,ARG,2005,198420.7655623883,57174.64290165325,3.4704329663010594,3125045.5,900477.125,15.7495889663696,0.0315079391002655,0.176452562212944,2.7887601852417
Argentina,ARG,2006,197886.16870440953,59696.43163567536,3.314874328035215,3225173.0,972939.75,16.2981224060059,0.0321293249726296,0.17079821228981,2.7969753742218
Argentina,ARG,2007,198031.75377639855,62528.924368116765,3.16704238522571,3358898.25,1060578.875,16.9614124298096,0.0330427475273609,0.184613347053528,2.80521464347839
Argentina,ARG,2008,201536.6997331946,63534.43130668295,3.172086309553474,3500743.0,1103609.0,17.3702507019043,0.0341678224503994,0.18496161699295,2.81347823143005
Argentina,ARG,2009,203535.94830342958,59121.31385053226,3.4426831044046087,3574509.25,1038291.6875,17.5620536804199,0.0347680374979973,0.147035777568817,2.82176613807678
Argentina,ARG,2010,204392.96722262283,63253.7930679664,3.2313155829722646,3694759.75,1143422.75,18.0767459869385,0.0352721847593784,0.167665779590607,2.83007836341858
Argentina,ARG,2011,207957.4033304058,65559.89383654458,3.1720216608173577,3844723.0,1212073.375,18.4880313873291,0.0364261642098427,0.172720894217491,2.8585422039032
Argentina,ARG,2012,210902.4230128012,63839.82173044848,3.303618608198761,3963128.25,1199632.5,18.7912883758545,0.0374421514570713,0.155670538544655,2.88729238510132
Argentina,ARG,2013,213401.6938345535,64236.59446180861,3.322120290194243,4081183.25,1228487.5,19.124418258667,0.0381124578416348,0.155906409025192,2.91633176803589
Argentina,ARG,2014,215504.90258456228,61786.983640024046,3.487868963471518,4177142.5,1197620.25,19.3830509185791,0.0384849980473518,0.1522176861763,2.9456627368927
Argentina,ARG,2015,215448.3731025172,61967.423474631156,3.4768005674904265,4277609.0,1230329.125,19.8544502258301,0.0385722704231739,0.148778095841408,2.97528910636902
Argentina,ARG,2016,221033.12419057137,61082.16587935126,3.618619625033488,4359475.0,1204734.25,19.7231750488281,0.0387495309114456,0.149806752800941,3.00521349906921
Argentina,ARG,2017,223029.5563466636,61830.430388308174,3.6071163494413807,4468098.5,1238689.875,20.0336608886719,0.0390813574194908,0.150692537426949,3.03543877601624
Argentina,ARG,2018,226373.82530699292,59908.81591303832,3.778639618509399,4558053.0,1206268.25,20.1350708007813,0.0392397530376911,0.131016343832016,3.06596803665161
Argentina,ARG,2019,223114.75787864492,57264.76642985987,3.8961960693915447,4605820.0,1182132.5,20.6432781219482,0.0388207696378231,0.111911572515965,3.09680438041687
Argentina,ARG,2020,246711.82717289435,56806.42997726078,4.343026436825046,4625739.0,1065095.75,18.7495632171631,0.0380473658442497,0.11107425391674,3.12795066833496
Argentina,ARG,2021,224634.52384650416,56049.533611185114,4.007785781141211,4714402.5,1176311.0,20.9869899749756,0.0375291481614113,0.143787637352943,3.13874697685242
Argentina,ARG,2022,218707.13104628053,56073.50791107828,3.9003647032946045,4829826.0,1238301.125,22.083532333374,0.0374034941196442,0.149333089590073,3.14963102340698
Argentina,ARG,2023,216599.16935390615,53459.18679045598,4.051673479488382,4936365.5,1218352.25,22.7903251647949,0.037367757409811,0.149598717689514,3.16060328483582
Australia,AUS,1950,207862.0561001789,43389.430484860226,4.7906149902729815,712402.25,148707.890625,3.4272837638855,0.0211917571723461,0.340848058462143,2.66730189323425
Australia,AUS,1951,218157.2835731661,43305.54638826104,5.03762916687971,768188.9375,152490.171875,3.5212619304657,0.021809184923768,0.431384742259979,2.67434358596802
Australia,AUS,1952,218488.42642478683,40749.45287953434,5.361751164382347,784147.5625,146248.40625,3.58896613121033,0.0221589431166649,0.258409768342972,2.68140339851379
Australia,AUS,1953,223463.42030109215,44406.970369192444,5.032169914841139,815786.6875,162114.296875,3.65064978599548,0.0223267413675785,0.298676520586014,2.6884822845459
Australia,AUS,1954,230231.399896748,46958.626069663595,4.902856390116639,858365.4375,175074.5625,3.7282726764679,0.0226085837930441,0.329387336969376,2.69557976722717
Australia,AUS,1955,236728.36704834498,47783.690117778904,4.954166713890214,901560.1875,181980.1875,3.80841636657715,0.0229208413511515,0.329291015863419,2.70269584655762
Australia,AUS,1956,239571.74660488614,46858.80103481933,5.112630739887429,932533.0625,182397.890625,3.89250016212463,0.0231581311672926,0.294477671384811,2.71145153045654
Australia,AUS,1957,244593.80072071086,47266.40476520838,5.1747917349692365,964544.875,186392.984375,3.94345593452454,0.0233273152261972,0.306811034679413,2.72023558616638
Australia,AUS,1958,253054.1624987038,50028.93865292955,5.058155725713875,1006757.375,199036.453125,3.97842645645142,0.0235147252678871,0.325539588928223,2.72904777526855
Australia,AUS,1959,261400.2785374573,52448.14181714462,4.983975970946771,1052758.625,211228.671875,4.0273814201355,0.0237215030938387,0.32667663693428,2.73788905143738
Australia,AUS,1960,265004.96498851257,52053.68066622396,5.090993789426041,1100372.25,216140.953125,4.15227031707764,0.0239195544272661,0.336618274450302,2.74675846099854
Australia,AUS,1961,272698.7169678926,52611.540137321346,5.1832490791207,1135589.375,219088.328125,4.16426372528076,0.0240623950958252,0.296569168567657,2.76815295219421
Australia,AUS,1962,277239.0271288774,54604.485380835584,5.077220766669461,1182194.125,232842.765625,4.26416921615601,0.0242121666669846,0.31739267706871,2.78971362113953
Australia,AUS,1963,280682.7474658744,56670.88611062852,4.952856161767918,1231092.375,248562.109375,4.38606357574463,0.0244003068655729,0.309577763080597,2.81144237518311
Australia,AUS,1964,284111.25887278974,58168.02222615904,4.88432042210678,1290835.375,264281.46875,4.54341506958008,0.0245858822017908,0.332906812429428,2.83334064483643
Australia,AUS,1965,287127.8326902385,57717.101508965585,4.974744489649,1344057.5,270176.1875,4.68104219436646,0.0247423499822617,0.318908363580704,2.8554093837738
Australia,AUS,1966,289278.976376748,59152.69224762557,4.890377181240806,1402941.625,286878.0,4.84978771209717,0.0248849429190159,0.315606623888016,2.87764978408813
