band,china_years,china_span,china_gy,china_cap,china_tfp,n_peers,peer_gy,peer_cap,peer_tfp,med_gy,med_cap,med_tfp
$5-10k,9,1997-2005,7.857457886655715,3.27637597777788,4.581081908877836,5,4.968176601422004,0.913122854205473,4.055053747216532,5.84814811133163,0.6384585129989961,4.389464762122769
$10-20k,7,2006-2012,9.643348938726147,3.948172192361344,5.695176746364803,11,5.298607974480264,1.6951661855748719,3.6034417889053927,4.917746408508609,1.926533896195196,3.2471806021285166
$20-30k,6,2013-2018,6.955401222602031,3.369198096229938,3.586203126372093,19,4.818075071552854,1.800774896397469,3.0173001751553845,5.287061855419199,1.8284305891617285,3.137796354005856
$30-40k,5,2019-2023,5.300836510942908,2.727414971568791,2.573421539374117,22,4.444925574738651,1.95122351917093,2.4937020555677196,4.480563736474739,1.7810653945056336,2.4850268886856943
